,Exch,ExchType,Scripcode,Name,Series,Expiry,CpType,StrikeRate,WireCat,ISIN,FullName,LotSize,AllowedToTrade,QtyLimit,Multiplier,Underlyer,Root,TickSize
63161,N,D,49247,BANKNIFTY 03 Nov 2022 PE 37300.00,XX,2022-11-03 14:30:00,PE,37300.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 37300.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
63163,N,D,49249,BANKNIFTY 03 Nov 2022 PE 37400.00,XX,2022-11-03 14:30:00,PE,37400.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 37400.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
63172,N,D,49267,BANKNIFTY 03 Nov 2022 PE 37700.00,XX,2022-11-03 14:30:00,PE,37700.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 37700.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
63174,N,D,49269,BANKNIFTY 03 Nov 2022 PE 37800.00,XX,2022-11-03 14:30:00,PE,37800.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 37800.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
63179,N,D,49309,BANKNIFTY 03 Nov 2022 PE 38900.00,XX,2022-11-03 14:30:00,PE,38900.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 38900.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
63185,N,D,49315,BANKNIFTY 03 Nov 2022 PE 39000.00,XX,2022-11-03 14:30:00,PE,39000.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 39000.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
63188,N,D,49318,BANKNIFTY 03 Nov 2022 PE 39100.00,XX,2022-11-03 14:30:00,PE,39100.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 39100.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
63190,N,D,49320,BANKNIFTY 03 Nov 2022 PE 39200.00,XX,2022-11-03 14:30:00,PE,39200.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 39200.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
63195,N,D,49333,BANKNIFTY 03 Nov 2022 PE 39600.00,XX,2022-11-03 14:30:00,PE,39600.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 39600.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
63197,N,D,49335,BANKNIFTY 03 Nov 2022 PE 39700.00,XX,2022-11-03 14:30:00,PE,39700.0, ,BANKNIFTY,BANKNIFTY 03 Nov 2022 PE 39700.00,25,Y,1200,1,03 Nov 2022,BANKNIFTY,0.05
